zip,facility_type,ev_slow,ev_dc_fast_count,spaces
91790,BANK,10.0,0.0,
91790,RESTAURANT,2.0,0.0,
91790,SHOPPING_CENTER,2.0,0.0,
91791,CAR_DEALER,1.0,2.0,
91791,SHOPPING_MALL,4.0,0.0,
91801,MUNI_GOV,6.0,0.0,
91801,OFFICE_BLDG,0.0,4.0,
91801,PARKING_GARAGE,12.0,0.0,
91801,RESTAURANT,4.0,0.0,
91803,GROCERY,2.0,0.0,
91803,MUNI_GOV,28.0,0.0,
91901,HOTEL,4.0,0.0,
91910,OTHER_ENTERTAINMENT,4.0,0.0,
91910,SHOPPING_CENTER,2.0,0.0,
91910,SHOPPING_MALL,6.0,0.0,
91911,CAR_DEALER,5.0,0.0,
91914,SHOPPING_MALL,0.0,12.0,
91915,SHOPPING_CENTER,2.0,0.0,
91915,SHOPPING_MALL,8.0,0.0,
91941,SHOPPING_MALL,2.0,0.0,
91943,HOTEL,3.0,0.0,
91945,CAR_DEALER,1.0,0.0,
91950,CAR_DEALER,3.0,0.0,
92009,SHOPPING_CENTER,2.0,0.0,
92010,OFFICE_BLDG,1.0,0.0,
92011,HOTEL,5.0,0.0,
92011,SHOPPING_MALL,2.0,0.0,
92014,HOTEL,7.0,0.0,
92020,AUTO_REPAIR,3.0,0.0,
92020,CAR_DEALER,1.0,0.0,
92020,OFFICE_BLDG,2.0,0.0,
92020,SHOPPING_CENTER,2.0,0.0,
92020,SHOPPING_MALL,2.0,0.0,
92026,SHOPPING_CENTER,2.0,0.0,
92027,PAY_LOT,2.0,0.0,
92028,PARKING_LOT,6.0,4.0,
92029,CAR_DEALER,2.0,0.0,
92029,RESTAURANT,2.0,0.0,
92036,INN,2.0,0.0,
92037,HOSPITAL,1.0,0.0,
92037,HOTEL,19.0,0.0,
92037,SHOPPING_MALL,4.0,0.0,
92056,CAR_DEALER,2.0,1.0,
92056,HOTEL,7.0,0.0,
92064,CAR_DEALER,1.0,1.0,
92064,SHOPPING_CENTER,2.0,0.0,
92067,INN,2.0,0.0,
92067,SHOPPING_CENTER,4.0,0.0,
92070,SHOPPING_CENTER,0.0,8.0,
92075,HOTEL,6.0,0.0,
92075,RESTAURANT,1.0,0.0,
